emp_id,skill_id,proficiency_level,no_of_projects_done_in_that_skill,certifications
E517,S001,3,4,No
E3227,S001,3,4,Yes
E4417,S002,1,4,No
E3421,S003,9,12,No
E2509,S005,10,8,Yes
E2215,S005,6,8,No
E2285,S012,5,1,No
E2986,S010,6,6,No
E4274,S004,1,4,Yes
E2671,S002,7,12,No
E3494,S014,5,4,No
E4165,S014,8,6,No
E4765,S001,5,1,Yes
E083,S005,6,7,Yes
E686,S004,1,4,Yes
E4979,S014,7,10,No
E3620,S011,10,7,No
E3601,S015,9,5,Yes
E3230,S014,6,6,No
E4336,S013,4,3,No
E3408,S005,8,8,Yes
E1183,S006,3,1,Yes
E2763,S005,6,12,No
E4969,S010,7,6,Yes
E1588,S010,5,3,No
E2450,S013,6,7,Yes
E451,S005,2,2,No
E1197,S014,7,6,Yes
E4597,S005,7,11,No
E2337,S012,10,10,No
E3877,S001,8,9,Yes
E019,S015,10,10,No
E2189,S012,5,4,No
E627,S011,1,4,Yes
E1431,S006,10,6,No
E4626,S012,6,11,No
E3452,S009,8,7,Yes
E3175,S004,8,9,No
E172,S001,1,3,Yes
E4599,S002,2,2,Yes
E4689,S007,1,2,No
E1697,S013,7,12,Yes
E689,S010,2,1,Yes
E3917,S009,7,11,Yes
E2509,S010,8,10,Yes
E345,S014,6,12,Yes
E1100,S014,8,7,Yes
E3855,S004,6,8,No
E3404,S009,9,5,Yes
E2342,S004,8,11,Yes
E799,S002,7,8,Yes
E1811,S012,5,4,Yes
E181,S007,10,10,No
E1619,S004,4,4,No
E4821,S001,1,4,No
E3970,S008,7,10,Yes
E2133,S014,4,1,No
E1809,S012,1,1,Yes
E187,S001,3,4,Yes
E1103,S008,8,9,Yes
E3490,S013,6,6,Yes
E1119,S009,7,7,Yes
E2399,S003,2,3,No
E3880,S003,1,2,No
E429,S015,6,7,No
E4102,S007,4,4,Yes
E2158,S004,3,2,No
E998,S010,5,1,Yes
E3347,S009,9,9,Yes
E4328,S010,1,2,Yes
E3249,S002,10,9,No
E873,S015,8,9,Yes
E1655,S005,9,12,No
E4875,S002,1,3,Yes
E154,S006,1,4,No
E3127,S004,1,1,No
E1559,S001,2,3,No
E3288,S012,5,1,Yes
E2505,S007,10,11,No
E2086,S001,4,4,No
E1824,S007,3,2,Yes
E1248,S014,5,4,No
E3701,S012,2,3,Yes
E3117,S008,1,3,Yes
E1579,S011,4,1,No
E404,S012,3,1,No
E4941,S002,10,9,No
E1461,S004,1,1,Yes
E107,S015,9,7,Yes
E1880,S008,6,9,Yes
E1823,S015,4,4,Yes
E184,S014,10,6,No
E1180,S015,10,9,No
E1801,S012,8,11,No
E4426,S004,1,1,Yes
E2320,S001,4,3,No
E108,S004,7,6,Yes
E563,S006,9,6,Yes
E3092,S004,2,1,Yes
E1904,S010,4,4,No
E778,S012,1,1,Yes
E205,S001,7,10,Yes
E2286,S005,3,2,No
E2684,S009,2,3,No
E2220,S004,9,5,No
E414,S011,8,5,No
E2232,S010,8,10,Yes
E298,S013,9,11,No
E3545,S014,1,1,Yes
E3407,S008,2,3,No
E2744,S004,3,2,Yes
E4062,S002,2,3,Yes
E839,S014,6,12,Yes
E1782,S014,3,3,Yes
E3230,S002,2,2,No
E4543,S013,8,11,No
E1591,S001,5,4,No
E2317,S008,3,2,Yes
E4840,S002,7,12,No
E454,S014,1,2,Yes
E1617,S012,8,10,Yes
E1976,S003,4,3,No
E4492,S013,5,2,Yes
E238,S005,10,10,Yes
E2346,S014,6,5,Yes
E198,S005,3,4,Yes
E1834,S007,8,7,No
E565,S010,3,2,Yes
E4761,S014,9,12,Yes
E500,S008,2,1,No
E4734,S002,6,8,Yes
E1832,S005,2,4,Yes
E647,S005,5,3,Yes
E2507,S005,10,6,Yes
E2065,S010,4,1,Yes
E2748,S009,10,10,Yes
E2862,S008,8,6,Yes
E3058,S013,9,8,No
E3735,S015,10,10,Yes
E4013,S009,2,3,No
E2420,S002,9,5,Yes
E1737,S006,9,9,Yes
E3397,S003,9,10,No
E4242,S004,7,6,No
E2625,S005,10,5,Yes
E3747,S004,5,2,Yes
E465,S002,6,9,Yes
E1379,S011,7,7,Yes
E1518,S004,3,3,No
E3247,S001,4,4,No
E3312,S011,9,9,No
E2571,S015,8,10,No
E405,S001,2,4,No
E2427,S006,2,4,Yes
E1250,S003,7,9,No
E1036,S011,9,8,Yes
E2419,S015,5,4,No
E4210,S001,4,1,Yes
E3232,S011,4,3,Yes
E4116,S015,8,6,No
E2718,S013,5,2,No
E2900,S001,6,9,Yes
E2158,S011,2,2,No
E2736,S005,9,11,No
E377,S015,10,11,No
E1097,S006,1,3,Yes
E2045,S009,4,1,Yes
E1075,S004,9,6,No
E4995,S014,5,4,Yes
E2910,S012,5,3,No
E3311,S015,5,1,No
E577,S010,5,2,No
E483,S008,9,7,No
E518,S014,6,9,No
E4894,S008,3,2,Yes
E4702,S002,5,1,No
E1192,S003,6,9,No
E1184,S015,4,3,Yes
E1255,S006,2,4,No
E2548,S012,5,1,Yes
E3257,S015,9,7,No
E4340,S005,4,3,No
E3244,S004,1,1,No
E4597,S007,7,7,Yes
E4913,S006,6,9,No
E3689,S009,2,3,No
E2239,S002,3,3,No
E1270,S012,3,2,No
E4191,S009,2,1,Yes
E3426,S014,7,9,Yes
E3031,S003,2,3,No
E3566,S004,7,10,Yes
E4729,S001,3,4,Yes
E4855,S011,6,7,Yes
E1982,S004,10,8,No
E1409,S015,3,4,No
E4207,S001,7,11,Yes
E2048,S003,10,12,No
E1932,S001,3,3,No
E1294,S013,8,6,No
E1717,S005,5,4,Yes
E4743,S005,5,4,Yes
E4686,S009,7,5,No
E4867,S003,1,1,Yes
E4502,S013,9,6,Yes
E3481,S013,2,3,Yes
E3393,S011,7,9,No
E3639,S005,3,2,Yes
E4090,S006,7,5,No
E2995,S009,7,10,No
E1637,S015,9,12,No
E986,S002,3,3,Yes
E1552,S004,6,8,No
E4343,S003,6,5,Yes
E1861,S008,4,1,No
E3331,S015,6,10,Yes
E1968,S008,9,8,Yes
E2692,S009,10,12,Yes
E3598,S013,7,6,Yes
E4372,S013,2,1,Yes
E1900,S008,6,12,No
E4972,S014,8,6,No
E486,S009,4,3,Yes
E4305,S015,1,3,Yes
E858,S009,7,8,No
E3840,S015,3,3,No
E162,S011,3,4,No
E4653,S011,2,2,Yes
E4023,S013,1,3,No
E2354,S007,2,1,Yes
E4243,S013,10,8,No
E2646,S012,4,2,No
E626,S004,8,7,Yes
E1112,S014,2,1,No
E186,S004,1,3,Yes
E2352,S007,1,2,No
E1886,S012,4,2,No
E4688,S001,9,6,Yes
E2161,S014,6,7,No
E1287,S010,5,4,No
E4913,S001,8,12,No
E1768,S015,8,6,No
E471,S009,1,3,No
E3500,S001,2,3,Yes
E295,S011,1,2,Yes
E374,S005,4,1,Yes
E3533,S005,8,6,No
E1984,S001,4,3,No
E4120,S013,2,4,No
E2761,S005,2,1,Yes
E3188,S004,9,7,No
E2622,S013,4,3,No
E3134,S009,8,5,Yes
E370,S014,4,4,Yes
E1903,S002,7,12,Yes
E4958,S008,1,2,Yes
E2337,S006,1,3,No
E4059,S007,10,11,Yes
E1131,S006,7,12,Yes
E3403,S010,5,2,Yes
E3528,S011,4,4,No
E3012,S002,2,1,Yes
E4260,S007,10,6,Yes
E4090,S003,6,10,No
E2600,S005,7,8,Yes
E2549,S015,1,2,No
E3233,S004,8,7,No
E2545,S004,4,1,Yes
E3350,S013,8,11,Yes
E2061,S005,9,5,No
E028,S012,5,3,Yes
E3001,S001,2,3,No
E3741,S007,10,10,No
E2616,S012,3,2,Yes
E650,S010,10,10,Yes
E4152,S003,9,10,Yes
E195,S009,5,3,Yes
E1256,S009,8,8,No
E3924,S002,6,5,Yes
E1872,S005,9,11,Yes
E471,S001,1,4,No
E676,S002,10,7,No
E4643,S014,2,2,No
E4782,S006,4,2,No
E4955,S013,1,2,Yes
E522,S012,10,8,No
E3781,S015,9,9,Yes
E1141,S010,3,4,Yes
E510,S010,2,2,Yes
E4693,S002,5,2,No
E2918,S014,9,8,Yes
E3104,S014,8,7,No
E4212,S008,4,2,Yes
E2217,S004,2,4,No
E390,S001,9,11,Yes
E4679,S004,5,4,No
E3088,S008,9,10,Yes
E3117,S001,6,6,No
E4997,S001,8,6,No
E2055,S006,5,1,Yes
E629,S003,7,8,No
E646,S008,8,8,Yes
E3015,S005,3,4,Yes
E3119,S002,9,11,No
E418,S002,8,6,No
E4660,S011,1,4,No
E236,S003,8,12,No
E3142,S004,7,7,Yes
E2822,S002,5,4,No
E2220,S011,1,3,Yes
E2694,S009,6,5,Yes
E2942,S010,10,11,Yes
E4273,S006,10,9,No
E880,S013,8,5,No
E4566,S013,2,3,No
E4560,S005,3,1,Yes
E2323,S012,8,5,No
E3293,S013,2,1,Yes
E1636,S015,9,7,No
E4209,S002,7,8,Yes
E4263,S002,4,3,Yes
E4794,S002,3,1,Yes
E030,S005,3,4,No
E4525,S003,7,12,No
E2978,S011,3,3,No
E2867,S009,8,7,No
E1750,S004,2,2,No
E233,S001,2,2,Yes
E3480,S006,7,7,No
E1024,S005,4,3,Yes
E4326,S001,10,9,Yes
E592,S003,7,11,Yes
E2755,S003,8,8,No
E1709,S011,5,1,No
E3560,S010,4,4,Yes
E4137,S008,1,1,Yes
E4016,S006,3,4,No
E1571,S012,2,1,No
E2578,S012,8,10,Yes
E2734,S010,10,12,No
E4092,S006,9,8,Yes
E4274,S008,1,2,Yes
E3413,S011,6,7,No
E1985,S003,9,10,Yes
E4217,S004,1,2,Yes
E4163,S007,6,10,No
E980,S005,8,7,No
E2512,S007,4,2,No
E3984,S010,10,7,No
E1464,S015,8,10,No
E913,S009,7,6,Yes
E3800,S005,9,9,Yes
E3371,S003,8,9,Yes
E1794,S007,8,8,Yes
E2396,S006,6,5,No
E2268,S012,4,1,No
E3581,S007,1,3,Yes
E1176,S002,6,12,Yes
E3814,S010,2,4,No
E624,S005,6,11,Yes
E2225,S004,1,4,Yes
E1936,S005,3,1,Yes
E609,S014,4,1,Yes
E255,S014,8,11,Yes
E2010,S003,4,4,Yes
E4680,S002,9,9,Yes
E892,S011,8,12,No
E2940,S001,8,8,Yes
E1678,S007,7,11,No
E3004,S004,10,8,No
E3501,S011,5,3,No
E4247,S014,9,7,No
E3456,S002,8,7,No
E4679,S001,3,2,Yes
E3742,S011,3,2,No
E2724,S006,5,4,No
E4787,S013,4,4,Yes
E2994,S011,4,4,No
E3216,S009,9,11,No
E1038,S010,6,12,No
E2162,S005,1,2,No
E826,S003,10,6,No
E3098,S013,4,3,No
E696,S001,2,4,No
E4799,S014,10,6,No
E4172,S009,3,2,No
E537,S015,8,9,Yes
E2544,S008,3,3,No
E387,S008,7,12,No
E2242,S013,1,4,No
E4486,S006,9,10,No
E1478,S009,1,3,Yes
E2145,S005,6,12,Yes
E3792,S001,4,1,Yes
E4111,S001,3,4,No
E245,S009,9,12,No
E305,S007,3,4,Yes
E3946,S011,8,8,No
E2318,S001,10,8,No
E4221,S015,2,4,No
E3946,S010,1,4,Yes
E273,S005,9,6,No
E1343,S006,1,4,Yes
E835,S006,1,1,No
E2818,S004,4,2,No
E2857,S001,5,2,No
E3657,S003,8,8,No
E4865,S014,6,9,Yes
E1576,S012,5,3,Yes
E1591,S004,3,3,No
E3574,S012,4,3,Yes
E3725,S013,8,7,No
E4311,S005,1,2,Yes
E4139,S009,1,2,Yes
E1056,S015,5,2,Yes
E4766,S007,8,5,Yes
E1523,S012,3,3,No
E189,S005,9,9,Yes
E2482,S009,2,1,No
E467,S014,8,7,Yes
E571,S004,4,4,Yes
E3621,S004,9,9,Yes
E3762,S015,6,5,No
E2490,S001,4,4,No
E757,S011,6,12,No
E4582,S009,6,11,Yes
E4214,S011,9,10,No
E1144,S007,4,3,No
E4691,S004,7,7,Yes
E4178,S011,10,12,Yes
E3835,S006,9,10,Yes
E2828,S007,8,9,Yes
E254,S015,5,1,Yes
E1113,S010,9,12,Yes
E2161,S006,8,5,No
E4411,S013,4,3,Yes
E3853,S006,5,4,No
E328,S003,4,1,No
E699,S003,6,8,No
E1897,S008,9,7,Yes
E3895,S011,3,2,Yes
E3877,S006,3,1,Yes
E1096,S008,5,1,Yes
E4386,S004,9,11,Yes
E4423,S001,8,12,Yes
E4698,S002,5,1,No
E3901,S008,4,1,No
E2531,S010,3,3,Yes
E1624,S003,3,4,No
E3912,S012,5,4,No
E1546,S010,6,7,No
E2929,S003,5,1,No
E1834,S003,2,1,Yes
E1118,S011,5,1,Yes
E270,S001,2,2,No
E1489,S001,3,4,No
E2229,S006,9,10,No
E2387,S013,8,5,No
E3151,S010,2,4,No
E2597,S006,7,5,No
E3770,S002,1,3,Yes
E1769,S013,8,8,Yes
E4943,S006,8,8,No
E098,S007,9,8,No
E2127,S014,5,4,Yes
E1800,S015,2,4,Yes
E3455,S014,7,11,Yes
E3083,S006,6,10,Yes
E2438,S007,9,10,Yes
E2702,S007,10,12,Yes
E4290,S006,4,2,Yes
E1038,S007,2,3,No
E3866,S002,7,7,Yes
E3533,S006,8,9,Yes
E017,S004,10,6,Yes
E3435,S002,2,3,No
E508,S014,3,2,No
E1349,S006,3,2,No
E2663,S006,1,4,No
E1288,S010,7,8,Yes
E1923,S012,8,10,Yes
E4287,S013,4,2,No
E1157,S002,1,2,No
E1749,S005,5,3,No
E3926,S004,9,12,No
E4044,S015,1,3,No
E3946,S013,5,4,No
E1156,S013,4,3,Yes
E4886,S001,9,5,Yes
E1287,S008,8,12,No
E4510,S005,2,2,Yes
E898,S011,2,1,No
E353,S012,1,4,No
E3546,S010,10,5,No
E1345,S009,4,4,Yes
E4342,S012,9,7,No
E624,S007,9,6,No
E4774,S013,7,8,No
E1168,S005,10,9,Yes
E2087,S012,9,11,Yes
E4915,S011,5,1,No
E1725,S003,4,2,Yes
E4427,S001,5,1,Yes
E162,S009,5,1,No
E4455,S009,7,6,No
E2186,S013,4,3,No
E2964,S009,7,9,No
E1077,S012,8,12,No
E1059,S006,2,4,No
E3927,S012,1,1,Yes
E3922,S003,6,12,No
E711,S011,6,7,Yes
E4971,S010,2,2,No
E4436,S009,10,9,Yes
E2537,S012,9,11,Yes
E4859,S014,5,1,Yes
E2313,S004,5,1,No
E012,S007,1,2,Yes
E2935,S010,6,6,Yes
E1776,S001,4,2,No
E3075,S012,2,2,No
E2112,S010,10,7,No
E2176,S007,7,12,Yes
E2384,S009,8,11,Yes
E4614,S001,1,4,Yes
E629,S005,5,1,No
E1458,S005,8,7,Yes
E3240,S003,10,5,Yes
E3206,S007,8,5,Yes
E3896,S015,2,2,No
E3933,S013,1,4,Yes
E357,S012,4,2,No
E3021,S003,2,4,No
E2790,S006,3,1,No
E1259,S010,1,4,Yes
E4340,S006,2,2,No
E878,S002,7,9,No
E2420,S014,8,8,Yes
E1569,S007,3,2,Yes
E3745,S004,7,6,Yes
E4437,S013,8,5,Yes
E1938,S003,10,9,No
E2748,S011,3,3,No
E3956,S013,6,6,Yes
E4611,S010,4,1,Yes
E846,S007,9,9,Yes
E238,S007,9,12,No
E4643,S002,8,8,No
E1141,S013,6,7,No
E106,S012,4,1,No
E066,S014,7,10,No
E2366,S009,6,12,No
E3379,S013,2,4,Yes
E094,S011,7,8,No
E796,S001,9,10,No
E4249,S003,3,3,No
E830,S008,3,1,Yes
E2711,S008,8,6,Yes
E3667,S011,9,8,No
E050,S010,9,7,Yes
E4820,S003,9,7,Yes
E2607,S010,1,3,No
E4311,S012,6,11,Yes
E1332,S013,2,1,Yes
E3688,S013,9,12,Yes
E3682,S003,6,7,No
E4281,S012,6,5,No
E2233,S002,6,10,No
E695,S006,2,4,No
E3265,S001,4,1,Yes
E909,S011,3,4,No
E4599,S014,1,4,No
E1574,S003,6,10,No
E1620,S007,7,9,Yes
E2144,S015,3,1,Yes
E1015,S012,3,4,No
E3091,S002,8,7,No
E1135,S011,10,10,No
E4033,S001,9,5,Yes
E2963,S001,8,6,No
E1102,S004,3,4,Yes
E3405,S009,1,2,Yes
E4770,S002,1,2,No
E922,S011,6,8,No
E1205,S010,1,3,Yes
E2883,S010,1,1,No
E1755,S001,3,4,Yes
E060,S008,5,3,No
E2346,S010,8,12,No
E614,S011,8,12,Yes
E593,S010,7,10,Yes
E4019,S008,2,2,Yes
E4730,S013,9,11,No
E1199,S005,7,12,Yes
E1300,S010,1,1,No
E867,S003,2,1,Yes
E257,S002,9,9,Yes
E673,S012,4,1,No
E475,S008,9,6,Yes
E3165,S014,6,9,Yes
E2846,S001,9,8,No
E496,S013,5,3,No
E1029,S008,9,8,No
E2004,S013,5,1,No
E3439,S009,5,2,No
E1084,S013,7,5,Yes
E4285,S013,10,10,No
E941,S013,4,1,No
E1021,S012,1,1,Yes
E3692,S015,2,1,No
E4686,S013,10,7,Yes
E3131,S009,4,1,No
E3699,S007,10,7,No
E2520,S010,8,8,No
E2275,S015,2,2,Yes
E3505,S006,9,10,No
E1336,S012,1,1,Yes
E2864,S005,8,6,No
E855,S013,3,4,Yes
E2727,S015,3,3,Yes
E2610,S014,8,6,Yes
E3837,S005,9,7,Yes
E1156,S008,8,7,No
E1094,S004,6,12,No
E1114,S014,6,11,No
E3425,S005,3,2,No
E3954,S009,5,1,Yes
E3196,S009,5,1,No
E4176,S004,6,6,Yes
E3064,S015,7,10,No
E780,S008,2,3,Yes
E1668,S001,6,11,Yes
E4907,S003,10,6,Yes
E1610,S006,1,2,No
E788,S009,4,4,Yes
E574,S005,10,11,No
E1497,S004,9,11,No
E1157,S008,7,11,No
E1130,S005,4,2,No
E3575,S009,9,8,Yes
E4556,S006,1,3,No
E841,S010,4,1,No
E352,S014,9,9,Yes
E3040,S007,1,3,Yes
E3735,S006,4,3,No
E228,S005,4,2,Yes
E892,S004,5,1,Yes
E2787,S005,3,1,Yes
E1190,S008,1,2,No
E1770,S011,5,4,Yes
E1185,S012,7,9,No
E1097,S012,2,1,No
E1147,S003,4,1,Yes
E1933,S014,6,5,No
E3035,S003,8,11,Yes
E4667,S004,8,7,No
E4725,S003,10,7,No
E1114,S005,8,9,No
E2525,S004,9,6,No
E2512,S010,4,4,Yes
E570,S011,7,6,No
E2027,S001,5,4,Yes
E1973,S012,2,1,Yes
E1381,S002,10,12,Yes
E805,S001,2,4,Yes
E1854,S005,1,3,No
E3318,S013,10,5,Yes
E4872,S011,7,10,No
E2995,S015,6,7,No
E3761,S012,5,1,Yes
E4776,S001,1,1,Yes
E3585,S005,5,2,Yes
E2232,S011,5,1,No
E710,S007,4,3,Yes
E210,S004,1,1,Yes
E2484,S001,5,2,No
E782,S011,9,8,No
E3987,S013,7,12,No
E451,S015,1,2,Yes
E3840,S011,4,2,Yes
E2761,S008,6,12,No
E4131,S005,3,4,No
E2685,S001,4,1,No
E3780,S009,9,7,No
E2315,S007,1,3,Yes
E1576,S009,7,9,Yes
E2487,S009,7,6,Yes
E1512,S008,5,4,No
E710,S004,7,5,Yes
E342,S004,9,10,Yes
E4075,S011,6,7,Yes
E2163,S004,1,2,No
E3430,S006,2,3,Yes
E069,S013,9,8,No
E1427,S010,6,11,Yes
E4671,S005,9,8,Yes
E415,S008,9,6,No
E721,S013,2,4,Yes
E4327,S006,10,10,No
E1957,S006,9,5,Yes
E4054,S002,8,12,Yes
E4524,S005,1,3,Yes
E179,S007,9,9,No
E4169,S005,3,3,No
E332,S004,1,4,Yes
E216,S005,1,1,No
E2255,S002,9,5,No
E137,S002,10,9,No
E4629,S001,7,8,Yes
E3760,S010,10,9,No
E2958,S009,8,7,No
E926,S007,3,1,No
E2818,S011,3,4,Yes
E4157,S003,1,1,No
E2302,S004,4,2,Yes
E244,S005,9,10,No
E4786,S004,4,3,No
E3010,S008,8,12,No
E4670,S013,6,12,No
E4610,S014,9,6,Yes
E600,S005,7,7,Yes
E4490,S012,5,4,No
E1133,S004,2,4,Yes
E4118,S005,9,8,No
E2523,S012,6,5,No
E278,S005,4,2,No
E876,S012,4,1,No
E1704,S004,6,12,No
E2940,S008,6,11,No
E653,S011,1,3,Yes
E3125,S002,10,10,No
E4438,S001,2,2,No
E4174,S003,3,3,Yes
E1797,S003,10,5,Yes
E3093,S004,1,4,No
E567,S010,8,6,No
E171,S012,4,1,No
E2536,S013,8,10,No
E703,S010,9,10,Yes
E708,S011,3,2,Yes
E3388,S007,6,9,Yes
E4129,S014,8,12,Yes
E281,S013,6,12,No
E180,S007,5,4,No
E2730,S005,1,4,No
E012,S010,9,10,Yes
E3547,S004,9,9,No
E276,S013,1,3,No
E878,S008,1,2,Yes
E3781,S011,9,6,No
E1759,S011,2,3,Yes
E3003,S003,6,7,Yes
E2231,S009,6,8,No
E2235,S015,6,8,Yes
E2759,S013,2,4,No
E1862,S007,4,4,No
E337,S010,6,8,Yes
E1914,S015,9,6,Yes
E4414,S003,9,5,No
E3243,S002,2,4,Yes
E4664,S009,4,4,Yes
E3604,S014,10,12,No
E1815,S014,3,1,No
E034,S008,9,10,No
E465,S015,2,1,No
E3039,S005,8,8,No
E4334,S005,2,2,Yes
E458,S008,9,12,No
E3567,S001,6,8,Yes
E3402,S007,8,12,No
E3901,S007,5,4,Yes
E3241,S003,6,6,Yes
E3379,S005,1,4,Yes
E1373,S010,2,2,No
E3699,S011,1,3,No
E2897,S009,5,3,Yes
E3521,S009,8,7,No
E768,S009,2,4,No
E2615,S003,3,1,No
E3985,S011,4,4,No
E2502,S004,4,3,No
E2351,S008,5,1,No
E1144,S014,3,4,No
E3755,S014,2,2,Yes
E685,S008,2,4,No
E4389,S001,6,6,Yes
E259,S015,7,11,Yes
E2344,S002,7,10,No
E3440,S004,3,1,Yes
E1027,S013,4,2,Yes
E3271,S003,5,4,No
E1840,S015,3,3,Yes
E4889,S012,8,7,Yes
E3436,S008,7,5,No
E957,S010,8,10,Yes
E3814,S005,1,3,Yes
E109,S007,6,5,Yes
E2530,S009,6,5,Yes
E1792,S013,7,8,Yes
E4106,S008,2,1,No
E684,S012,6,11,Yes
E2930,S012,3,3,No
E175,S015,8,10,Yes
E2808,S013,9,7,Yes
E2602,S006,10,6,Yes
E2030,S011,1,1,Yes
E4994,S015,2,2,No
E346,S015,10,9,Yes
E4690,S011,7,12,No
E3045,S015,1,2,Yes
E4432,S007,4,4,Yes
E3858,S003,5,1,Yes
E3939,S012,3,2,Yes
E2501,S007,3,4,Yes
E668,S012,4,3,No
E4298,S011,8,10,No
E3551,S001,8,12,No
E558,S004,2,4,No
E321,S015,5,1,No
E3025,S005,1,1,Yes
E2514,S004,4,3,Yes
E014,S003,3,2,Yes
E4026,S014,6,6,No
E2444,S007,2,2,No
E899,S005,2,2,Yes
E848,S002,5,4,No
E3167,S012,7,11,No
E2521,S015,10,11,No
E3271,S014,5,4,No
E1800,S003,7,10,No
E2154,S005,9,5,Yes
E4839,S004,10,6,No
E481,S008,10,10,Yes
E4695,S007,8,9,No
E030,S002,4,1,No
E1882,S009,5,1,Yes
E1162,S014,5,4,No
E3274,S013,9,10,Yes
E3813,S013,2,4,Yes
E3353,S001,10,9,No
E2803,S002,5,3,Yes
E2483,S004,10,10,No
E2459,S011,1,2,Yes
E4176,S005,3,3,Yes
E3623,S004,10,11,Yes
E4050,S014,5,3,Yes
E2107,S005,1,2,No
E1476,S002,4,3,Yes
E3321,S008,8,10,No
E4937,S012,3,1,No
E1871,S008,4,2,No
E2581,S003,3,2,Yes
E1113,S015,5,2,Yes
E3299,S008,4,2,Yes
E2829,S001,10,9,No
E3164,S009,2,2,Yes
E445,S003,9,7,Yes
E1775,S002,9,10,Yes
E2013,S003,2,4,No
E2200,S011,10,7,Yes
E4724,S013,7,7,Yes
E3005,S001,10,9,No
E2437,S015,8,7,No
E2998,S015,3,2,No
E3667,S004,8,7,No
E2716,S003,9,8,No
E181,S006,6,8,Yes
E3758,S014,8,10,No
E3799,S001,4,4,Yes
E675,S010,5,4,Yes
E444,S011,7,5,No
E4602,S003,3,1,Yes
E288,S014,10,7,No
E4986,S009,7,10,No
E3252,S001,4,4,No
E727,S011,4,1,Yes
E941,S004,9,8,No
E3695,S009,1,3,No
E3721,S005,2,1,Yes
E4170,S003,10,6,Yes
E4282,S002,7,11,Yes
E2793,S015,3,3,Yes
E2408,S012,3,4,Yes
E2282,S008,6,12,Yes
E047,S012,5,1,No
E2600,S003,6,8,No
E4508,S015,10,6,Yes
E4241,S010,7,7,Yes
E1241,S009,2,2,Yes
E2973,S007,10,9,No
E2184,S015,1,1,No
